
2025/04/24 (22:24:07) | ===> btop++ v.1.4.0
2025/04/24 (22:24:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (23:06:08) | ===> btop++ v.1.4.0
2025/04/24 (23:06:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (23:07:17) | ===> btop++ v.1.4.0
2025/04/24 (23:07:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (01:22:38) | ===> btop++ v.1.4.0
2025/04/25 (01:22:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (01:24:05) | ===> btop++ v.1.4.0
2025/04/25 (01:24:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (01:33:30) | ===> btop++ v.1.4.0
2025/04/25 (01:33:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (09:31:01) | ===> btop++ v.1.4.0
2025/04/25 (09:31:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (10:08:28) | ===> btop++ v.1.4.0
2025/04/25 (10:08:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (11:20:26) | ===> btop++ v.1.4.0
2025/04/25 (11:20:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (11:35:28) | ===> btop++ v.1.4.0
2025/04/25 (11:35:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (12:14:38) | ===> btop++ v.1.4.0
2025/04/25 (12:14:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/25 (12:14:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (12:36:10) | ===> btop++ v.1.4.0
2025/04/25 (12:36:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/25 (12:36:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (13:00:10) | ===> btop++ v.1.4.0
2025/04/25 (13:00:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/25 (13:00:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (13:00:44) | ===> btop++ v.1.4.0
2025/04/25 (13:00:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/25 (13:00:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (13:07:15) | ===> btop++ v.1.4.0
2025/04/25 (13:07:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/25 (13:07:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (13:29:44) | ===> btop++ v.1.4.0
2025/04/25 (13:29:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/25 (13:29:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (13:30:37) | ===> btop++ v.1.4.0
